602.gcc_s-1850B.champsimtrace.xzcumulative,IPC:,0.371521,0.486512,6747992,3727428,,,4291480,8820920,4338680,4097600,4482240,193874,4491080,11567600,7817500,3750050,4004330,299593,3704730,6006850
600.perlbench_s-1273B.champsimtrace.xzcumulative,IPC:,0.695009,0.244835,9080,12204,,,4882,19940,7637,1940,12303,2942,12446,31352,12309,19043,26176,5845,20331,8680
600.perlbench_s-210B.champsimtrace.xzcumulative,IPC:,0.708043,0.162471,18206,11410,,,3472,21370,9485,1653,11885,1819,11953,39094,22110,16984,21841,4997,16844,9494
602.gcc_s-2375B.champsimtrace.xzcumulative,IPC:,0.372781,0.234724,4128958,1387639,,,562272,2395460,1764630,504465,630825,57807,631332,7181850,5378370,1803480,2164870,1513970,650905,1655320
600.perlbench_s-570B.champsimtrace.xzcumulative,IPC:,0.53372,0.15864,666492,465076,,,91719,578157,286319,34519,291838,57200,293698,2266480,1668910,597571,844494,392149,452345,302836
602.gcc_s-2226B.champsimtrace.xzcumulative,IPC:,0.338453,0.488372,14805017,14553484,,,16693500,34182000,16447000,15576200,17735000,1117270,17795500,28823400,14136100,14687300,15987100,1297570,14689500,17487000
603.bwaves_s-3699B.champsimtrace.xzcumulative,IPC:,0.883087,0.497012,3613,2822,,,11312,22760,11388,11312,11372,0,11372,42559,21435,21124,38693,17618,21075,10530
603.bwaves_s-1080B.champsimtrace.xzcumulative,IPC:,0.917113,0.497459,1396,1115,,,7440,14956,7481,7440,7475,0,7475,30026,15166,14860,28316,13474,14842,7486
603.bwaves_s-2609B.champsimtrace.xzcumulative,IPC:,0.943865,0.499962,6220602,3023767,,,3814000,7628580,3811030,3810940,3817550,3056,3817840,10317900,6517410,3800500,3900630,100134,3800500,4876140
603.bwaves_s-1740B.champsimtrace.xzcumulative,IPC:,0.94359,0.499942,6211537,3034577,,,3842960,7686820,3840360,3840230,3846460,2738,3846710,10308800,6508300,3800540,3900680,100149,3800540,4876140
603.bwaves_s-2931B.champsimtrace.xzcumulative,IPC:,0.990449,0.531409,5032242,1624394,,,2055130,3867330,2053820,2046700,1813510,8429,1813510,9843580,6926600,2916970,4108040,1379500,2728540,2781140
602.gcc_s-734B.champsimtrace.xzcumulative,IPC:,0.392984,0.446098,5266956,2199300,,,2166370,4856260,2307290,1931950,2548980,234421,2553520,8870770,6661680,2209090,2524530,318871,2205660,4369300
603.bwaves_s-891B.champsimtrace.xzcumulative,IPC:,0.919992,0.49945,4400146,3711417,,,4821870,9654360,4822920,4821710,4831440,161,4831460,8261240,4399160,3862080,3862300,1988,3860310,5135800
603.bwaves_s-5359B.champsimtrace.xzcumulative,IPC:,0.899418,0.496679,1166,893,,,3365,6775,3392,3365,3383,0,3383,25890,13039,12851,24430,11611,12819,3328
605.mcf_s-1152B.champsimtrace.xzcumulative,IPC:,0.255798,0.26947,8486596,16770829,,,5102950,18937000,7004060,4231920,11932900,871032,11954600,23370300,9306030,14064300,25404400,12822400,12582000,15732200
605.mcf_s-1536B.champsimtrace.xzcumulative,IPC:,0.16568,0.235797,6833691,11700153,,,887897,3765510,52514,1414,3713000,886483,3727470,22356800,16728400,5628340,21762900,14533300,7229550,12525300
