600.perlbench_s-1273B.champsimtrace.xzcumulative,IPC:,0.694953,0.712819,2570,3510,,,3580,5790,1171,1064,4619,2516,4692,5252,4234,1018,2706,1538,1168,230137
600.perlbench_s-210B.champsimtrace.xzcumulative,IPC:,0.707152,0.901215,18666,19234,,,1201810,1333550,1001030,995728,332514,206084,337480,39555,28719,10836,29767,11701,18066,3753000
600.perlbench_s-570B.champsimtrace.xzcumulative,IPC:,0.539601,0.591541,610156,300130,,,3023640,3324600,2922870,2870180,401727,153466,404348,7238280,2276650,4961620,20660100,20553000,107128,8205830
602.gcc_s-1850B.champsimtrace.xzcumulative,IPC:,0.330826,0.544481,4385879,19279777,,,8627050,16662700,8398000,8366920,8264740,260131,8266860,17369,17306,63,988,530,458,9434050
602.gcc_s-2226B.champsimtrace.xzcumulative,IPC:,0.320197,0.416943,7777509,88815357,,,4325820,6509390,2089690,2084660,4419700,2241160,4472620,619075,375293,243782,677795,490847,186948,7498500
602.gcc_s-2375B.champsimtrace.xzcumulative,IPC:,0.372839,0.771589,1770921,1004572,,,2936430,3810290,2625230,2383980,1185060,552451,1193020,8556480,8442080,114403,641233,520133,121100,12318200
602.gcc_s-734B.champsimtrace.xzcumulative,IPC:,0.333706,0.55991,11013258,9457286,,,1291590,1866770,1084040,1045190,782732,246403,788059,9440,9283,157,716,287,429,4977200
603.bwaves_s-1080B.champsimtrace.xzcumulative,IPC:,0.916107,0.503959,1313,8970,,,44489,57531,35300,34888,22231,9601,22269,182940,182766,174,3120,2982,138,607415
603.bwaves_s-1740B.champsimtrace.xzcumulative,IPC:,0.78029,0.616104,2303129,8163117,,,166652,233793,104711,102273,129082,64379,130861,1250370,1093080,157292,337135,199836,137299,1842320
603.bwaves_s-2609B.champsimtrace.xzcumulative,IPC:,0.413372,0.537088,2274782,7318513,,,894769,1132230,212610,190201,919617,704568,927729,12353,6620,5733,8282,1415,6867,39247900
603.bwaves_s-2931B.champsimtrace.xzcumulative,IPC:,0.931188,0.543407,2654839,7866987,,,120414,203560,50443,48749,153117,71665,160718,2210190,1931060,279137,629035,447540,181495,1704090
603.bwaves_s-3699B.champsimtrace.xzcumulative,IPC:,0.876049,0.538707,2469,15399,,,1977540,3200630,988822,988730,2211810,988809,2290900,62285,31476,30809,77817,18725,59092,2380160
603.bwaves_s-5359B.champsimtrace.xzcumulative,IPC:,0.895328,0.617859,939,7911,,,2542520,3629620,1139700,1101880,2489920,1440650,2654890,60224,29365,30859,80402,36080,44322,34021700
